target,feature,mean_video_rho,ci_low,ci_high,videos
audienceWatchRatio,amplitude_change,0.05382402569169404,-0.02614685562612467,0.13399093395432543,109
audienceWatchRatio,auditory_processing,0.0813397095312177,-0.0087793180503707,0.17243183278464122,140
audienceWatchRatio,aversion,0.41701874534625527,0.3389842942894248,0.49012188834587933,140
audienceWatchRatio,engagement,0.21383018126892517,0.1345572139820841,0.28542462276347175,140
audienceWatchRatio,pattern_change,0.18818931251004417,0.0983523252932674,0.2727435348094591,109
audienceWatchRatio,reward,0.3736799571380509,0.29522741449511963,0.4472832587580487,140
audienceWatchRatio,social_value,0.4368357185838389,0.36057985331600434,0.5078545385382102,140
audienceWatchRatio,visual_processing,0.20928218636246057,0.1316455349435198,0.28645751674519637,140
exit_intensity,amplitude_change,0.2777023859960492,0.1935254254318787,0.36025979536885033,109
exit_intensity,auditory_processing,-0.04606829067045786,-0.12617547735509368,0.03328580665734568,140
exit_intensity,aversion,0.030530729713060544,-0.04787288170236811,0.10986238994125438,140
exit_intensity,engagement,0.04383602201768943,-0.03169241278280421,0.12354136231231536,140
exit_intensity,pattern_change,0.2811598108294788,0.1945452434846092,0.36558139758859776,109
exit_intensity,reward,-0.09082168724439844,-0.16608187350421708,-0.019737648745549067,140
exit_intensity,social_value,0.020023503426643625,-0.05942644164309082,0.09620811834118999,140
exit_intensity,visual_processing,-0.021003293404222197,-0.08993692438513866,0.05088843121164536,140
internal_start_intensity,amplitude_change,0.008733574118189515,-0.15516880555342094,0.1679793763928378,26
internal_start_intensity,auditory_processing,0.1830464407387484,0.014802537206383363,0.34313807986884903,26
internal_start_intensity,aversion,-0.008545300852993166,-0.13826990317374932,0.12321657509157509,26
internal_start_intensity,engagement,0.09136760675222214,-0.09750560337098796,0.2601227298342682,26
internal_start_intensity,pattern_change,0.04375752452675529,-0.1223004559543021,0.2103334806219421,26
internal_start_intensity,reward,0.10144086682548223,-0.055711083788006856,0.2565708810420349,26
internal_start_intensity,social_value,0.10048605240912935,-0.054792002868925944,0.24869734432234428,26
internal_start_intensity,visual_processing,0.15548874202720359,-0.0036210264094879287,0.29900306424344886,26
relativeRetentionPerformance,amplitude_change,0.09884415449161098,0.012120212216940133,0.18924462279230495,109
relativeRetentionPerformance,auditory_processing,0.06716855334944678,-0.013950633904954435,0.1466118501458368,140
relativeRetentionPerformance,aversion,0.32675373035976757,0.24893264912240204,0.40307484777127633,140
relativeRetentionPerformance,engagement,0.18387575091378716,0.10796058001012945,0.2625866853596425,140
relativeRetentionPerformance,pattern_change,0.005259208274517739,-0.08979409824324185,0.10280049903656714,109
relativeRetentionPerformance,reward,0.27304181379336184,0.19825155408133077,0.3471823327723925,140
relativeRetentionPerformance,social_value,0.3474225239108035,0.26990463811122534,0.4199550523880881,140
relativeRetentionPerformance,visual_processing,0.1875259315847551,0.10958227102029626,0.2627502358577463,140
