channel,feature,videos,adjusted_rho
yugsa,reward,194,0.028164997760639014
yugsa,aversion,194,-0.10467307384138749
yugsa,social_value,194,0.03781274011496756
yugsa,engagement,194,-0.007748599885772044
yugsa,visual_processing,194,0.150124294806737
yugsa,auditory_processing,194,0.03701396621646608
kfn,reward,2312,0.06659454956259317
kfn,aversion,2312,-0.026732320155175245
kfn,social_value,2312,-0.01983574970084217
kfn,engagement,2312,0.022106385141732597
kfn,visual_processing,2312,0.15162938161933065
kfn,auditory_processing,2312,-0.24808187963884168
